streamerId,install_date,registration_date,gender,streamer_type,followers,coins_earned_all_time,avg_stream_duration,avg_watchers_per_stream,avg_earned_coins_per_stream
62e317f9a51fb840278916c3,2022-07-28,2022-07-28,male,Individual,26,0,2,20,0
6334d09b38c52fb3346e72c3,2022-09-28,2022-09-28,female,Official,162,104,7.26,66.42,5.47
6308c0f4ab766d90dff98a34,2022-08-26,2022-08-26,iPreferNotToSay,Individual,2570,4784,3,69.7,11.51
6338952f08aa4f2581aca7fc,2022-10-01,2022-10-01,female,Individual,7,0,1,26,0
633785e808aa4f2581ac5cf8,2022-10-01,2022-10-01,male,Individual,,0,1,7,0
633a06cc94c9c82f2a4a4c3c,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,1,0
62e793360eb43379b47f1cdb,2022-08-01,2022-08-01,female,Official,2079,29806,61.89,208.28,418.45
62c895a395d3ce1dbc6e70a6,2022-07-08,2022-09-05,male,Individual,10,0,1.5,3,0
633af63a94c9c82f2a4a869d,2022-10-03,2022-10-03,male,Individual,,0,1,1,0
6339379d08aa4f2581acd8a5,2022-10-02,2022-10-02,iPreferNotToSay,Individual,14,0,2,17,0
6338360594c9c82f2a49b350,2022-10-01,2022-10-01,male,Individual,,0,1,0.5,0
633a5b9f94c9c82f2a4a647c,2022-10-03,2022-10-03,male,Individual,,0,1,0,0
633ac98108aa4f2581ad4985,2022-10-03,2022-10-03,male,Individual,,0,2,10,0
63386ce908aa4f2581ac9a38,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,2,0
6337bfa594c9c82f2a499917,2022-10-01,2022-10-01,male,Individual,1,0,1,1.5,0
633194323750b1df6e5b96cd,2022-09-26,2022-09-26,iPreferNotToSay,Individual,,0,1,3,0
6339912f94c9c82f2a4a2328,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
63342f3fd177d11c1506d00b,2022-09-28,2022-09-28,female,Official,35,0,4.6,50.6,0
6338788108aa4f2581ac9eb0,2022-10-01,2022-10-01,female,Official,34507,572955,6.88,78.12,58.16
629456bbf5953b4eff520622,2022-05-30,2022-05-30,female,Official,15555,29824,38.63,198.85,141.68
6337135594c9c82f2a496666,2022-09-30,2022-10-03,female,Individual,12,0,9,115,0
629302ddf5953b3b9b511ff5,2022-05-29,2022-06-18,female,Official,9089,45293,1.23,3.92,7.11
6337841508aa4f2581ac5c80,2022-10-01,2022-10-01,male,Individual,,0,6,44,0
633a1a1594c9c82f2a4a5302,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,0.5,0
63391f6f94c9c82f2a4a0761,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,3,17,0
6251af85c0dc557e0fae8c29,2022-04-09,2022-05-06,female,Official,6566,109838,3.44,31.6,69.96
633a370e94c9c82f2a4a5ab8,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,1,1,0
6339f51908aa4f2581ad0dc9,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
633a3e3a08aa4f2581ad284e,2022-10-03,2022-10-03,male,Individual,,0,1,0,0
633973dd94c9c82f2a4a1bb9,2022-10-02,2022-10-02,male,Individual,4,0,2.67,9,0
632cb215db772157dcd58d81,2022-09-22,2022-10-01,male,Individual,,0,2,5.5,0
6327c83bf4d17a1733315d4b,2022-09-19,2022-09-28,male,Individual,6,0,1.06,0.88,0
63390e5694c9c82f2a49f164,2022-10-02,2022-10-02,female,Individual,464,405,4.16,63.77,5.26
6339fd1c08aa4f2581ad1081,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1.67,11.33,0
6338a8a408aa4f2581acae8c,2022-10-01,2022-10-01,iPreferNotToSay,Individual,2,0,10,119,0
633ae82c08aa4f2581ad5110,2022-10-03,2022-10-03,female,Individual,1,0,1,5,0
63389c2994c9c82f2a49d1cf,2022-10-01,2022-10-01,male,Individual,,0,1,4,0
6338501c08aa4f2581ac91bc,2022-10-01,2022-10-01,female,Official,1308,53139,13.18,58.3,66.97
623c69684ab21f688375c58e,2022-03-24,2022-03-24,female,Official,1162,753,24.25,179.74,12.6
62557247b21521567e0ce9e0,2022-04-12,2022-04-19,female,Official,87,88,4.13,16.96,8.61
632ba477f4d17a758b328532,2022-09-21,2022-09-21,male,Individual,4,0,7.09,27.82,0
632daeef127d39c18887a694,2022-09-23,2022-09-28,female,Individual,19,0,5,30.33,0
633a045708aa4f2581ad13e4,2022-10-02,2022-10-02,female,Individual,227,226,8.77,81.02,4.71
6339aef508aa4f2581acf25d,2022-10-02,2022-10-02,male,Individual,,0,1.33,5.67,0
6339d9b394c9c82f2a4a37ef,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,3,0
62e061120eb4333bd67d1ca1,2022-07-26,2022-07-26,male,Official,2441,9300,2.61,17.84,16.01
6337469208aa4f2581ac4743,2022-09-30,2022-09-30,iPreferNotToSay,Official,21,0,14,83,0
632dac26d177d126af04ca8b,2022-09-23,2022-09-23,iPreferNotToSay,Individual,,0,2.5,17.12,0
629154b5030120c4d438990a,2022-05-27,2022-05-27,male,Individual,4,0,1,0,0
630d9e5736b95f92980507f4,2022-08-30,2022-08-30,female,Individual,811,1859,6.5,86.56,63.01
63388d1308aa4f2581aca5a2,2022-10-01,2022-10-01,female,Individual,,0,2,25.67,0
63396d1b08aa4f2581ace1d2,2022-10-02,2022-10-02,iPreferNotToSay,Individual,24,0,4.5,45.25,0
633a034c94c9c82f2a4a4a8e,2022-10-02,2022-10-02,female,Individual,1,0,1,4,0
63369f6930b4f027e73aed83,2022-09-30,2022-09-30,female,Individual,,0,7,94,0
623733d69459553bc47f57b6,2022-03-20,2022-03-20,male,Individual,1,0,1,0,0
62d7edd6755b0865670b15e6,2022-07-20,2022-07-20,male,Individual,,0,1,0,0
633a77c308aa4f2581ad37b7,2022-10-03,2022-10-03,male,Individual,,0,1,0,0
62de484da51fb87f56879df8,2022-07-25,2022-10-01,male,Individual,,0,2.5,21.5,0
6337c52c94c9c82f2a499a3f,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,3,20,0
633443b6d177d11a2206d308,2022-09-28,2022-09-28,iPreferNotToSay,Individual,2,0,2,9.5,0
6339b8f794c9c82f2a4a2c69,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
633b2ef694c9c82f2a4a955f,2022-10-03,2022-10-03,female,Individual,,0,2.67,27,0
630276c90632b324b12f1b5c,2022-08-21,2022-08-21,male,Individual,1,0,1,1.5,0
62bebdda883ebf1e4d74bdb0,2022-07-01,2022-07-01,female,Official,1609,14814,12.44,157.29,29.52
633883f194c9c82f2a49ca7c,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,2,15,0
62a95b69c111043fe0dbb671,2022-06-15,2022-09-27,male,Individual,113,0,1,1.33,0
631724d8f613be77feb7af02,2022-09-06,2022-09-06,male,Individual,303,0,2.67,7.33,0
6339b5ca08aa4f2581acf3f0,2022-10-02,2022-10-02,female,Individual,2,0,1.67,13,0
62a91f06b06e906b38be26bd,2022-06-14,2022-06-14,female,Official,1853,30518,5.73,60.36,62.57
632b24e8fafcf15f4c205d01,2022-09-21,2022-09-21,male,Individual,3,0,5.22,12.44,0
633885b594c9c82f2a49cb1f,2022-10-01,2022-10-01,male,Individual,,0,1,0,0
630e1915b5f7729c426a758d,2022-08-30,2022-08-31,female,Official,935,1846,8.87,73.73,57.07
63394a8808aa4f2581acdc2b,2022-10-02,2022-10-02,female,Individual,,0,10,64,0
6339ccff94c9c82f2a4a330b,2022-10-02,2022-10-02,male,Individual,,0,1,5,0
62a2d3eb0301201913405652,2022-06-10,2022-06-18,male,Individual,10,0,1,3,0
633a868808aa4f2581ad3ab0,2022-10-03,2022-10-03,male,Individual,,0,1.67,4,0
633a6a3508aa4f2581ad3544,2022-10-03,2022-10-03,iPreferNotToSay,Individual,26,0,4.33,43.33,0
6339cf5194c9c82f2a4a33e9,2022-10-02,2022-10-02,iPreferNotToSay,Individual,1,0,2,8,0
63161f63f613bed793b7618a,2022-09-05,2022-09-05,iPreferNotToSay,Official,22736,119042,9.27,80.98,147.96
6336c6a630b4f027e73af0f3,2022-09-30,2022-09-30,female,Individual,3,0,7,44,0
633b3c8a08aa4f2581ad6691,2022-10-03,2022-10-03,female,Individual,1,0,1,6.33,0
633877a008aa4f2581ac9e64,2022-10-01,2022-10-01,male,Individual,31,0,72,425,0
633aa74894c9c82f2a4a746f,2022-10-03,2022-10-03,male,Individual,2,0,3.5,15.5,0
633a4fde08aa4f2581ad2cf7,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,2,9,0
633682ca38c52fb3346eadf6,2022-09-30,2022-10-03,iPreferNotToSay,Individual,7,0,1,2,0
633816c808aa4f2581ac82f2,2022-10-01,2022-10-01,female,Individual,5,0,2,16,0
633963b408aa4f2581ace018,2022-10-02,2022-10-02,female,Individual,,0,1,4,0
6331edf93750b13e785ba9ef,2022-09-26,2022-09-26,female,Individual,,0,2.67,28.17,0
6337ce0694c9c82f2a499cd6,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,5,0
633a00a094c9c82f2a4a4968,2022-10-02,2022-10-02,male,Individual,3,0,2.75,10.5,0
63391c3594c9c82f2a4a066b,2022-10-02,2022-10-02,iPreferNotToSay,Individual,4,0,2,7,0
633b6bbb08aa4f2581ad768d,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,1,0,0
6338274408aa4f2581ac86de,2022-10-01,2022-10-01,female,Individual,2,0,2.67,16.33,0
633b1e4608aa4f2581ad5ce8,2022-10-03,2022-10-03,male,Individual,,0,1,4,0
63166c88df4842ee9c68e952,2022-09-05,2022-09-05,female,Official,1186,13353,10.73,74.16,122.15
6338669c08aa4f2581ac9840,2022-10-01,2022-10-01,male,Individual,,0,3,10,0
6339197c08aa4f2581accf20,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
63396db408aa4f2581ace20f,2022-10-02,2022-10-02,male,Individual,1,0,10,22.67,0
633886da94c9c82f2a49cb5e,2022-10-01,2022-10-01,male,Individual,,0,1,3,0
63304486d177d187f905c104,2022-09-25,2022-09-25,iPreferNotToSay,Individual,127,396,6.25,62.85,46.05
633939f194c9c82f2a4a1091,2022-10-02,2022-10-02,male,Individual,1,0,1,7,0
633ad12a08aa4f2581ad4b46,2022-10-03,2022-10-03,female,Official,6,0,2,16,0
6334e41f38c52fb3346e7677,2022-09-29,2022-09-29,female,Official,62,99,10.44,75.56,6.19
63312ee13750b16bbf5b857b,2022-09-26,2022-09-26,female,Individual,282,94,8.81,89.94,16.56
6338477b94c9c82f2a49b80d,2022-10-01,2022-10-01,female,Individual,17,0,6,55,0
